date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2022-12-11,65.0,12,4,2022,49,2,155.0,130.0,594.0,347.0,238.89049095069998,324.0,256.31453891096936,432.0,369.67774664379806,-0.5806451612903225
2022-12-18,45.0,12,4,2022,50,3,65.0,155.0,509.0,214.75,199.800525524834,321.5,259.0614929758128,395.0,383.2409638382047,-0.3076923076923077
2022-12-25,111.0,12,4,2022,51,4,45.0,65.0,130.0,98.75,52.181574014842994,290.875,277.16598301894317,330.4166666666667,370.18827110080855,1.4666666666666668
2023-01-01,55.0,1,1,2023,52,1,111.0,45.0,155.0,94.0,49.16638417997815,293.625,274.9773691986825,237.25,241.95496387851628,-0.5045045045045045
2023-01-08,715.0,1,1,2023,1,2,55.0,111.0,65.0,69.0,29.16619047230109,208.0,216.5726535962336,239.0,240.422355638798,12.0
2023-01-15,60.0,1,1,2023,2,3,715.0,55.0,45.0,231.5,323.63920240498237,223.125,249.15539471238753,291.5,270.6250341171502,-0.916083916083916
2023-01-22,1289.0,1,1,2023,3,4,60.0,715.0,111.0,235.25,320.8326406918927,167.0,224.9552336418449,272.3333333333333,278.7632861353326,20.483333333333334
2023-01-29,519.0,1,1,2023,4,5,1289.0,60.0,55.0,529.75,593.5292045608762,311.875,454.16153120731326,372.3333333333333,397.1258864604137,-0.5973622963537626
2023-02-05,210.0,2,1,2023,5,1,519.0,1289.0,715.0,645.75,509.1609928761888,357.375,454.4333795272652,353.9166666666667,383.41301214067784,-0.5953757225433526
2023-02-12,196.0,2,1,2023,6,2,210.0,519.0,60.0,519.5,547.4367543378868,375.5,443.8751433197661,321.9166666666667,377.5332515959431,-0.06666666666666665
2023-02-19,60.0,2,1,2023,7,3,196.0,210.0,1289.0,553.5,512.4935771955259,394.375,430.83239614893006,295.8333333333333,374.23080708260323,-0.6938775510204082
2023-02-26,304.0,2,1,2023,8,4,60.0,196.0,519.0,246.25,194.01095329903384,388.0,435.9711654947574,290.0,377.58129768784363,4.066666666666666
2023-03-05,400.0,3,1,2023,9,1,304.0,60.0,210.0,192.5,100.51036430803161,419.125,417.28936089275714,302.4166666666667,375.18055249399134,0.3157894736842106
2023-03-12,110.0,3,1,2023,10,2,400.0,304.0,196.0,240.0,146.09585894199702,379.75,399.8809644310238,330.3333333333333,368.3092409507215,-0.725
2023-03-19,230.0,3,1,2023,11,3,110.0,400.0,60.0,218.5,160.3610509652096,386.0,394.5243066927925,335.75,364.18629723111326,1.0909090909090908
